Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied
24,373,4,3,4,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,2746,2,2,3,0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
45,522,5,5,4,23,39.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57,157,1,2,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1179,2,3,2,4,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
18,1440,2,1,2,10,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,3621,3,2,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43,645,4,4,5,9,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,473,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
49,637,5,5,4,21,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,1262,1,3,1,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
60,3243,4,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32,919,5,5,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23,862,3,4,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57,2591,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,708,3,3,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,846,3,3,3,9,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,342,4,4,5,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,3823,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
51,678,4,5,4,19,22.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
55,2366,4,4,5,18,26.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
37,3443,3,3,2,136,144.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,2156,5,5,3,27,22.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
21,594,3,4,3,6,27.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,1372,4,4,4,338,334.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
58,391,1,1,5,0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
59,2738,4,4,3,44,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,290,2,2,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36,300,2,2,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
47,773,4,3,4,8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
15,1773,3,4,3,3,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,631,4,3,4,52,46.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
37,1807,3,4,1,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23,594,1,4,1,28,33.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
27,1744,3,3,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51,297,4,4,4,49,34.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
55,3768,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,536,2,3,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,483,4,4,5,92,84.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,542,5,3,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
12,811,2,2,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
20,868,4,4,4,14,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,808,4,2,1,23,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,89,2,5,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
44,1630,3,3,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,2405,4,4,3,4,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
39,868,3,3,3,11,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,306,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
51,328,3,3,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,488,2,4,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
46,134,2,3,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14,1562,2,3,2,11,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
43,1055,2,4,2,35,45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
18,1086,1,4,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
39,226,5,5,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,590,2,3,2,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
41,937,5,5,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
73,429,4,3,4,76,64.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,668,3,4,3,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
50,2391,2,3,1,120,144.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
39,684,2,3,2,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,3216,1,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,719,3,5,3,3,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
52,2328,4,4,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,2434,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,2133,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,762,3,5,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,2496,4,4,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1547,4,4,3,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23,438,2,3,2,128,121.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
22,936,2,4,2,10,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
54,2273,4,4,4,13,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,475,1,1,4,0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30,2172,2,3,2,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
48,2398,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,675,2,2,1,15,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,1276,4,4,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,631,5,5,4,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
42,304,3,3,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54,585,4,4,5,17,40.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,1107,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
49,651,1,4,1,41,31.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
56,3226,5,5,5,20,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32,562,4,2,4,183,192.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,598,5,1,5,9,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
36,462,3,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,1076,1,5,1,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
48,1076,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7,237,3,4,3,20,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
48,1306,1,3,5,15,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,3595,5,5,4,4,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
15,300,1,3,1,19,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,390,4,4,4,4,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31,3851,1,4,1,28,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,337,4,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
69,862,4,1,4,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
59,2153,1,5,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
25,2857,5,4,5,36,61.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,1598,3,5,3,0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
32,130,4,5,4,39,34.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,589,4,3,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,817,1,4,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,3853,2,2,2,0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53,599,2,2,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,200,5,2,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
52,550,3,3,4,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
51,305,5,5,1,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7,1590,3,4,3,0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
52,872,4,4,3,74,65.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,642,4,3,4,10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
52,3145,2,2,3,61,45.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,2821,5,4,5,21,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,1773,1,2,1,11,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,1773,1,3,1,4,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,1195,3,4,3,89,85.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
18,775,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
46,3791,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1055,2,4,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
52,2367,5,5,3,101,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,1744,2,2,1,16,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,3064,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,533,2,4,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
44,1587,4,4,4,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
61,293,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
29,2675,1,4,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,1616,4,2,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,459,3,4,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
18,377,4,5,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
43,1511,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,1529,4,4,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,737,3,4,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
59,3647,4,4,4,22,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,646,3,1,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
29,667,4,5,3,133,140.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
42,600,2,3,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
56,3386,1,1,5,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,1237,4,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12,1195,2,4,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,270,2,2,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
58,2349,5,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
42,1867,4,4,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43,214,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
51,808,2,2,4,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,630,5,5,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
40,387,4,5,4,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,370,3,4,3,0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,397,2,4,2,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
68,674,2,4,2,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7,547,3,3,3,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,680,2,4,2,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
38,405,1,5,1,8,28.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60,2198,4,4,3,23,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
61,3504,2,2,3,127,124.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
45,515,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,599,3,3,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
37,1890,5,5,1,13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
65,67,5,5,5,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
54,2562,4,5,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
55,377,2,4,2,20,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
16,2330,2,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,3580,5,5,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,236,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,573,2,4,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
63,230,5,5,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45,1773,3,3,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,3384,4,5,5,16,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43,1657,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
58,2575,2,2,4,36,32.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
41,174,5,3,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
23,3470,4,4,4,15,56.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,689,4,4,3,27,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,1835,3,4,3,11,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,591,3,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,639,3,5,3,42,29.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
58,587,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
62,261,1,1,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
60,432,3,3,4,37,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,1521,2,2,3,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,2226,3,4,3,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,2169,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,776,2,4,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
54,1091,4,2,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
32,1788,4,4,4,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41,666,2,3,2,25,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
29,3355,4,4,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,1028,2,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,1559,4,4,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,297,4,5,4,7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
64,212,5,1,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
53,507,4,4,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
28,1504,3,3,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
59,589,3,5,3,19,46.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
43,3132,5,5,3,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,414,4,4,3,22,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,2288,4,4,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
15,370,4,3,4,13,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,2672,4,4,4,15,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36,134,1,4,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,328,4,4,4,17,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
48,196,3,3,5,0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,129,5,5,5,2,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,3208,4,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,421,4,4,3,50,64.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
63,2565,2,3,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54,1096,2,2,5,3,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
39,1504,4,4,4,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,1972,5,5,4,24,26.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56,2565,5,5,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
51,2565,4,4,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
45,2475,4,3,3,23,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,1608,4,5,4,34,38.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,630,1,4,1,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,468,1,1,1,7,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,306,3,3,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35,647,1,2,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1754,1,2,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,338,2,3,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,1947,1,5,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,3147,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32,1389,5,5,5,67,79.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
57,3681,4,4,5,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,3937,4,2,4,47,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,2000,5,5,5,64,56.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
40,3309,4,4,3,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,2978,4,4,4,13,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
69,134,1,1,2,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,3037,4,4,5,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,1747,1,4,4,33,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
68,762,3,3,3,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,261,5,1,5,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
65,1009,4,4,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
63,493,3,4,3,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
67,920,2,2,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
28,1452,5,4,5,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
57,160,4,5,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
46,1884,4,4,5,48,41.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,521,5,4,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,261,5,2,5,61,61.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
44,1368,1,1,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43,258,5,2,5,2,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
19,1120,2,5,2,9,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
62,2361,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,991,3,2,5,8,28.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,1224,3,3,2,146,159.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
61,362,2,4,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,803,5,5,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
15,391,3,5,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
50,3541,5,5,4,11,23.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,1224,1,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,1939,5,5,5,32,19.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,1460,3,5,3,5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
65,409,3,3,2,16,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
16,802,4,3,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,3284,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
51,1797,4,4,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,594,5,3,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
47,1304,5,5,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
61,2976,5,5,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,335,3,5,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
47,3857,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,801,4,1,4,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
37,3497,2,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,2191,4,4,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,819,2,3,2,18,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
59,3634,5,5,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,500,2,2,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
13,1411,5,3,5,5,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17,671,4,4,4,0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,135,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
46,3859,1,1,2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
60,1121,4,4,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
68,2586,3,3,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,1620,4,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
52,192,1,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
57,802,1,1,5,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,1444,3,4,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
55,503,4,5,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
33,971,1,4,1,15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
57,419,2,2,1,0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
